Date/Time,Document Title,Document Url,respuesta_Adjudicatario,respuesta_Importe total,respuesta_Tipo de gasto
2014-03-11 13:22,DGC 129 2012,http://www.documentcloud.org/documents/953978-dgc-129-2012.html,Honorable Senado de la Nación,16544.47,Viáticos y gastos
2014-03-11 13:24,DGC 890 2012,http://www.documentcloud.org/documents/955893-dgc-890-2012.html,,,
2014-03-11 13:28,DGC 884 2012,http://www.documentcloud.org/documents/955874-dgc-884-2012.html,Albus S.R.L,1138.8,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 13:36,DGC 1827 2012,http://www.documentcloud.org/documents/957292-dgc-1827-2012.html,Autotransportes San Juan Mar del Plata S.A.,26993.5,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 13:36,DGC 2110 2012,http://www.documentcloud.org/documents/957736-dgc-2110-2012.html,Honorable Senado de la Nación,3308.47,Gastos de protocolo y ceremonial
2014-03-11 13:38,DGC 1200 2012,http://www.documentcloud.org/documents/956386-dgc-1200-2012.html,Honorable Senado de la Nación,1025.0,Gastos de protocolo y ceremonial
2014-03-11 13:50,DGC 622 2012,http://www.documentcloud.org/documents/955166-dgc-622-2012.html,Honorable Senado de la Nación,1439.6,Viáticos y gastos
2014-03-11 13:52,DGC 1260 2012,http://www.documentcloud.org/documents/956470-dgc-1260-2012.html,,,
2014-03-11 13:54,DGC 1462 2012,http://www.documentcloud.org/documents/956757-dgc-1462-2012.html,,,
2014-03-11 14:01,DGC 964 2012,http://www.documentcloud.org/documents/956025-dgc-964-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-03-11 14:05,DGC 735 2012,http://www.documentcloud.org/documents/955452-dgc-735-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-03-11 14:07,DGC 1173 2012,http://www.documentcloud.org/documents/956349-dgc-1173-2012.html,Bloomberg L.P,28738.5,Sistema de información financiera
2014-03-12 10:06,DGC 727 2012,http://www.documentcloud.org/documents/955430-dgc-727-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
