Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"MADERA, TERESITA",LA RIOJA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"MAGARIO, VERONICA MARIA",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"MAJDALANI, SILVIA CRISTINA",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"MALDONADO, VICTOR HUGO",CHACO,10/12/2011,9/12/2015,UCR
,"MARCOPULOS, JUAN FERNANDO",CORRIENTES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"MARTINEZ, OSCAR ANSELMO",TIERRA DEL FUEGO,10/12/2013,9/12/2017,MOVIMIENTO SOLIDARIO POPULAR
,"MARTINEZ, OSCAR ARIEL",SANTA FE,10/12/2011,9/12/2015,FRENTE RENOVADOR
,"MARTINEZ, JULIO CESAR",LA RIOJA,10/12/2013,9/12/2017,UCR
,"MARTINEZ, SOLEDAD",BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"MARTINEZ CAMPOS, GUSTAVO JOSE",CHACO,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"MASSA, SERGIO TOMAS",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"MAZURE, LILIANA AMALIA",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"MENDOZA, MAYRA SOLEDAD",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"MENDOZA, SANDRA MARCELA",CHACO,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"MESTRE, DIEGO MATIAS",CORDOBA,10/12/2013,9/12/2017,UCR
,"METAZA, MARIO ALFREDO",SANTA CRUZ,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"MOLINA, MANUEL ISAURO",CATAMARCA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"MONGELO, JOSE RICARDO",CHACO,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"MORENO, CARLOS JULIO",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"MOYANO, JUAN FACUNDO",BUENOS AIRES,10/12/2011,9/12/2015,"CULTURA, EDUCACION Y TRABAJO"
,"MÜLLER, EDGAR RAUL",CORDOBA,10/12/2011,9/12/2015,COMPROMISO FEDERAL
